"Category","SubCategory","Quote","Author","AuthorFacts","Keywords"
"Inspirational","Life","Some people weave burlap into the fabric of our lives, and some weave gold thread. Both contribute to make the whole picture beautiful and unique.","Anonymous","","Gold, People"
"Inspirational","Imagination","Reality can be beaten with enough imagination.","Anonymous","","Imagination, Reality"
"Inspirational","Life","The secret of love is seeking variety in your life together, and never letting routine chords dull the melody of your romance.","Anonymous","","Life, Love, Romance, Routine, Variety"
"Inspirational","Dreams","No dreamer is ever too small; no dream is ever too big.","Anonymous ","","Dream"
"Inspirational","Character","Reputation is what the world thinks a man is; character is what he really is.","Anonymous ","","Character, Man, Reputation, World"
"Inspirational","Power","Power (n) The only narcotic regulated by the SEC instead of the FDA.","Anonymous","","Power"
"Inspirational","Friends","Sometimes a new love comes between old friends. Sometimes the best love was the one that was always there.","Anonymous","","Friends, Love, Old"
"Inspirational","Love","Sometimes I wish I were a little kid again, skinned knees are easier to fix than broken hearts.","Anonymous","",
"Inspirational","Happiness","Some people cause happiness wherever they go; others whenever they go.","Anonymous","","Cause, Happiness, People"
"Inspirational","Conversation","Silence is one great art of conversation.","Anonymous","","Art, Conversation, Silence"
"Inspirational","Happiness","Security is a thumb and a blanket. Happiness is a warm puppy.","Anonymous ","","Happiness, Security"
"Inspirational","Achievement","Self-determination is fine but needs to be tempered with self-control.","Anonymous","","Needs, Self"
"Inspirational","Knowledge","Learning is like rowing upstream. Advance or lose all.","Anonymous","","Learning"
"Inspirational","Knowledge","Knowledge become power only when we put it into use.","Anonymous","","Knowledge, Power"
"Inspirational","Humanity","Nothing makes a person more productive than the last minute.","Anonymous","","Nothing"
"Inspirational","Opportunity","Learn to listen. Opportunity could be knocking at your door very softly.","Anonymous ","","Opportunity"
"Inspirational","Purpose","Leadership is similar to team work. You have to remain cantered, be mindful, assess a situation, bring people together, come to an agreement, and discover solutions by using the talents of everyone involved.","Anonymous","","Agreement, Leadership, People, Work"
"Inspirational","Action","Remember, people will judge you by your actions, not your intentions. You may have a heart of gold -- but so does a hard-boiled egg.","Anonymous","","Actions, Gold, Heart, Intentions, May, People, Will"
"Inspirational","Dreams","No dream comes true until you wake up and go to work.","Anonymous ","","Dream, Work"
"Inspirational","Mistakes","No one is listening until you make a mistake.","Anonymous","","Listening, Mistake"
"Inspirational","Achievement","Remember that great love and great achievements involve great risk.","Anonymous ","","Love, Risk"
"Inspirational","Love","It is better to have loved and lost, than to have hated and won.","Anonymous","",
"Inspirational","Beauty","It is kindness in a person, not beauty that wins our love.","Anonymous","","Beauty, Kindness, Love"
"Inspirational","Knowledge","Knowledge is boundless but the capacity of one man is limited.","Anonymous","","Knowledge, Man"
"Inspirational","Love","No one in love is free, or wants to be.","Anonymous","","Love"
"Inspirational","Character","Reputation is the shell a man discards when he leaves life for immortality. His character he takes with him.","Anonymous ","","Character, Immortality, Life, Man, Reputation"
"Inspirational","Spirituality","The tragedy of life is not that it ends so soon, but that we wait so long to begin it.","Anonymous","","Life, Tragedy"
"Inspirational","Knowledge","Insecurity exists in the absence of knowledge.","Anonymous","","Absence, Insecurity, Knowledge"
"Inspirational","Inspiration","People with small minds talk about other people. People with average minds talk about events. People with great minds talk about ideas ","Anonymous","","Events, Ideas, People, Talk"
"Inspirational","Attitude","Our lives are not determined by what happens to us but by how we react to what happens, not by what life brings to us, but by the attitude we bring to life. A positive attitude causes a chain reaction of positive thoughts, events, and outcomes. It is a ca","Anonymous","","Attitude, Causes, Events, Life, Positive, Thoughts"
"Inspirational","Leadership","Success for leadership is . . . knowing the great art of directing others without their noticing it.","Anonymous","","Art, Leadership, Success"
"Inspirational","Happiness","Stop searching. Happiness is right next to you.","Anonymous","","Happiness, Right"
"Inspirational","Love","Lat: Love me faithfully!/See how I am faithful:/With all my heart/And all my soul/I am with you/Though I am far away.","Anonymous","","Love"
"Inspirational","Perseverance","Patience and perseverance surmount every difficulty.","Anonymous ","","Difficulty, Patience, Perseverance"
"Inspirational","Happiness","Some pursue happiness, others create it.","Anonymous","","Happiness"
"Inspirational","Opportunity","The trouble with opportunity is that it always comes disguised as hard work.","Anonymous ","","Hard work, Opportunity, Trouble"
"Inspirational","Failure","Success always occurs in private, and failure in full view.","Anonymous","","Failure, Success"
"Inspirational","Purpose","Progress involves risk. You can't steal second base and keep your foot on first base.","Anonymous","","First, Progress, Risk"
"Inspirational","Opportunity","Opportunity may knock only once, but temptation leans on the doorbell.","Anonymous ","","May, Opportunity, Temptation"
"Inspirational","Achievement","The harder you fall, the higher you bounce.","Anonymous ","",
"Inspirational","Opportunity","Opportunity is often missed because we are broadcasting when we should be tuning in.","Anonymous ","","Opportunity"
"Inspirational","Knowledge","The real key to health and happiness and success is self knowledge.","Anonymous","","Happiness, Health, Key, Knowledge, Self, Self knowledge, Success"
"Inspirational","Happiness","Laughter is the sun that drives winter from the human face.","Anonymous","","Laughter, Sun, Winter"
"Inspirational","Achievement","The man who wakes up and finds himself famous hasn't been asleep.","Anonymous ","","Famous, Man"
"Inspirational","Opportunity","Once an opportunity has passed, it cannot be caught.","Anonymous ","","Opportunity"
"Inspirational","Happiness","Much happiness is overlooked because it doesn’t cost anything.","Anonymous ","","Happiness"
"Inspirational","Persistence","Persistence is a strong will. Obstinance is a strong won???t.","Anonymous","","Persistence, Will"
"Inspirational","Purpose","The first virtue of all really great men is that they are sincere. They eradicate hypocrisy from their hearts.","Anotole France","","First, Hypocrisy, Men, Virtue"
"Inspirational","Creation","Millions of men have lived to fight, build palaces and boundaries, shape destinies and societies but the compelling force of all times has been the force of originality and creation profoundly affecting the roots of human spirit.","Ansel Adams","American Photographer; (2/20/1902 - ); US nature photographer  (1902 - 1984)","Creation, Fight, Force, Men, Originality, Spirit"
"Inspirational","Discovery","The discovery of a new dish does more for human happiness than he discovery of a new star. Tell me what you eat, and I will tell you what you are.","Anthelme Brillat-Savarin","French gourmet & lawyer  (1755 - 1826)","Discovery, Happiness, Will"
"Inspirational","Habit","Tell me what you eat, and I will tell you what you are.","Anthelme Brillat-Savarin ","French gourmet & lawyer  (1755 - 1826)","Will"
"Inspirational","Common Sense","Without a sense of caring, there can be no sense of community.","Anthony D'Angelo","","Caring, Community, Sense"
"Inspirational","Problems","When solving problems, dig at the roots instead of just hacking at the leaves.","Anthony D'Angelo","","Problems"
"Inspirational","Learning","Develop a passion for learning. If you do, you will never cease to grow.","Anthony D'Angelo","","Learning, Passion, Will"
"Inspirational",,"If you have a vision, do something with it.","Anthony D'Angelo","","Vision"
"Inspirational","Reputation","Build your reputation by helping other people build theirs.","Anthony D'Angelo","","People, Reputation"
"Inspirational","Inspiration","In order to succeed you must fail so you know what to do better the next time. ","Anthony D'Angelo","","Order, Succeed, Time"
"Inspirational","Ideas","The people who oppose your ideas are inevitably those who represent the established order that your ideas will upset.","Anthony D'Angelo","","Ideas, Order, People, Will"
"Inspirational","Learning","Never stop learning knowledge doubles every fourteen months.","Anthony D'Angelo","","Knowledge, Learning, Months"
"Inspirational","Ignorance & Stupidity","Never let your persistence and passion turn into stubbornness and ignorance.","Anthony D'Angelo","","Ignorance, Passion, Persistence"
"Inspirational",,"You oughtn't to yield to temptation. Well, somebody must, or the thing becomes absurd.","Anthony Hope","British Writer; (2/9/1863 - ); ","Temptation, Yield"
"Inspirational","Success","In order to succeed you must fail, so that you know what not to do the next time.","Anthony J. D'Angelo","","Order, Succeed, Time"
"Inspirational","Knowledge","Never stop learning; knowledge doubles every fourteen months.","Anthony J. D'Angelo","","Knowledge, Learning, Months"
"Inspirational","Knowledge","In your thirst for knowledge, be sure not to drown in all the information.","Anthony J. D'Angelo","","Information, Knowledge"
"Inspirational","Leadership","The only real training for leadership is leadership.","Anthony Jay","","Leadership, Training"
"Inspirational","Inspiration","To be a leader, you must stand for something, or you will fall for anything. ","Anthony Pagano","","Leader, Will"
"Inspirational","Passion","He fell in love with himself at first sight, and it is a passion to which he has always remained faithful. Self-love seems so often unrequited.","Anthony Powell","","First, Love, Passion, Self, Sight"
"Inspirational","Inspiration","Your current conditions do not reflect your ultimate potential. ","Anthony Robbins","","Potential"
"Inspirational","Attitude","Whatever we focus on determines how we feel. And how we feel our state of mind powerfully influences our actions and interactions. Rather than jump to conclusions, consider all the possibilities and choose to focus on one that will empower you and those you care about.","Anthony Robbins","","Actions, Care, Focus, Mind, Possibilities, State, Will"
"Inspirational","Inspiration","What would you attempt if you knew you could not fail? ","Anthony Robbins","",
"Inspirational","Achievement","You and I can make our lives one of these legendary inspirations, as well, simply by having courage and the awareness that we can control whatever happens in our lives. Although we cannot always control the events in our lives, we can always control our response to them, and the actions we take as a result. If there’s anything you’re not happy about-in your relationships, in your health, in your career make a decision right now about how you’re going to change it immediately.","Anthony Robbins","","Actions, Awareness, Career, Change, Control, Courage, Decision, Events, Health, Now, Relationships, Result, Right"
"Inspirational","Inspiration","What changes your life is not learning more. What changes your life is making decisions and using your personal power and taking action.","Anthony Robbins","","Action, Decisions, Learning, Life, Power"
"Inspirational","Inspiration","Your current situation is ultimate potential! ","Anthony Robbins","",
"Inspirational","Goals","There's always a way if you're committed.","Anthony Robbins","",
"Inspirational","Achievement","We must either find a way or make one.","Anthony Robbins","",
"Inspirational","Goals","When you were born, you cried and the world rejoiced. Live your life in such a manner that when you die the world cries and you rejoice.","Anthony Robbins","","Life, World"
"Inspirational","Encouragement","We can change our lives. We can do, have, and be exactly what we wish.","Anthony Robbins","","Change"
"Inspirational","Motivation","You see, in life, lots of people know what to do, but few people actually do what they know. Knowing is not enough! You must take action.","Anthony Robbins","","Action, Life, People"
"Inspirational","Determination","It is the moment of our decisions that our destinies are created.","Anthony Robbins","","Decisions"
"Inspirational","Inspiration","If you are truly flexible and go until.. .there is very little you can't accomplish in your lifetime. ","Anthony Robbins","",
"Inspirational","Zeal","A bit of baseball wisdom: You can’t steal second with your foot on first.","Anthony Robbins","","Baseball, First"
"Inspirational","Inspiration","If you think you can or if you think you can't, either way you are right. ","Anthony Robbins","","Right"
"Inspirational","Inspiration","If you want to be successful, find someone who has achieved the results you want, and copy what they do, and you'll achieve similar results. ","Anthony Robbins","","Results, Successful, Want"
"Inspirational","Intensity","How does a person make a difference? The history of the world is simply a chronicle of the deeds of a small number of ordinary people who had extraordinary levels of commitment.","Anthony Robbins","","Commitment, Deeds, Difference, History, People, World"
"Inspirational","Happiness","Don't put off joy and happiness. To so many people, goal setting means that only someday, after they've achieved something great, will they be able to enjoy life. There's a huge difference between achieving to be happy and happily achieving. Strive to live each day to its fullest, squeezing all the joy you can out of each moment. Instead of measuring your life's value by your progress toward a single goal, remember that the direction you're headed in is more important than temporary results. What is your current direction? Are you moving toward your goals or away from them? Do you need to make a course correction? Are you enjoying life to the fullest? If not, make a change in one of these areas now.","Anthony Robbins","","Change, Correction, Day, Difference, Direction, Goal, Goals, Happiness, Joy, Life, Now, People, Progress, Results, Value, Will"
"Inspirational","Attitude","Always remember that you are bigger than the moment, you are more than anything that could ever happen to you.","Anthony Robbins","",
"Inspirational","Achievement","Determination is the wake-up call to the human will.","Anthony Robbins","","Determination, Will"
"Inspirational","Intensity","F.E.A.R. = False Evidence Appearing Real.","Anthony Robbins","",
"Inspirational","Fear","Do what you fear, and the death of fear is certain.","Anthony Robbins","","Death, Fear"
"Inspirational","Goals","All personal breakthroughs begin with a change in beliefs. How do you replace limiting beliefs? The most effective way is to destabilize your old belief shake your certainty by questioning it. Remember that your brain is always trying to move you away from pain, so think about all the negative consequences this belief has caused. Ask yourself: 1) As I reconsider it, what's actually silly, ridiculous, or stupid about this belief? 2) What has this belief already cost me? How has it limited me in the past? 3) What could it cost me in the future if I don't change now? Answering these types of questions will help you associate painful feelings to the old, undesired belief and provide you with the opportunity to replace it with an empowering one. ","Anthony Robbins","","Belief, Beliefs, Certainty, Change, Consequences, Feelings, Future, Help, Negative, Now, Old, Opportunity, Pain, Past, Questioning, Questions, Silly, Trying, Will"
"Inspirational","Motivation","How would you feel if you had mastered and attained all your goals a year from now? How would you feel about yourself? How would you feel about your life? Answering these questions will help you develop compelling reasons to achieve your goals. Having a powerful enough why will provide you with the necessary how. Take this opportunity to brainstorm your top four one-year goals. Under each one, write a paragraph about why you are absolutely committed to achieving these goals within the year.","Anthony Robbins","","Goals, Help, Life, Now, Opportunity, Questions, Will"
"Inspirational","Happiness","If you don't set a baseline standard for what you'll accept in life, you'll find it's easy to slip into behaviors and attitudes or a quality of life that's far below what you deserve.","Anthony Robbins","","Life, Quality"
"Inspirational","Perseverance","If you do what you’ve always done, you’ll get what you’ve always gotten.","Anthony Robbins","",
"Inspirational","Achievement","If you develop the absolute sense of certainty that powerful beliefs prove, then you can get yourself to accomplish virtually anything, including those things that other people are certain are impossible.","Anthony Robbins","","Beliefs, Certainty, People, Sense"
"Inspirational","Goals","I discovered a long time ago that if I helped people get what they wanted, I would always get what I wanted and I would never have to worry.","Anthony Robbins","","People, Time, Worry"
"Inspirational","Inspiration","Each day we must strive for constant and never ending improvement. ","Anthony Robbins","","Day, Ending, Improvement"
"Inspirational","Inspiration","I do believe I am special. My special gift is my vision, my commitment, and my willingness to do whatever it takes. ","Anthony Robbins","","Commitment, Vision"
"Inspirational","Attitude","The most effective way to control your focus is through the use of questions. For any question you pose, your brain provides an answer. For example, if you ask, Why is soand-so taking advantage of me? You can’t help but focus on how you’re being bilked, whether it’s actually true or not. But if you ask instead, How can I improve this situation? You are certain to get answers that enable you to take positive action.","Anthony Robbins","","Action, Answers, Being, Control, Example, Focus, Help, Positive, Question, Questions"
"Inspirational","Inspiration","The secret of succcess is learning how to use pain and pleasure instead of having pain and pleasure use you. If you do that, you are in control of your life. If you don't, life controls you. ","Anthony Robbins","","Control, Learning, Life, Pain, Pleasure"
"Inspirational","Inspiration","Only those who have learned the power of sincere and selfless contribution will ever experience life's deepest joy; true fulfillment. ","Anthony Robbins","","Experience, Fulfillment, Joy, Life, Power, Will"
"Inspirational","Inspiration","The one thing that separates the winners from  the losers, is, winners take action. ","Anthony Robbins","","Action"
"Inspirational","Purpose","Saving money is a worthwhile goal, but by itself it won't bring you economic abundance. The third key to mastering your finances is to increase your wealth. To accomplish this, you must spend less than you earn, invest the difference, and reinvest your returns for compounded growth. Compounding puts your money to work for you by increasing it exponentially. The pace at which you achieve financial independence is in direct proportion to your willingness to reinvest not spend the profits of your past investments.","Anthony Robbins","","Abundance, Difference, Financial, Goal, Growth, Independence, Key, Money, Past, Wealth, Work"
"Inspirational","Achievement","The only way of finding the limits of the possible is by going beyond them to into the impossible.","Anthony Robbins","","Limits"
"Inspirational","Goals","Life is a gift and all of us who have the capacity must remember that we have the responsibility to give something back; a small but consistent commitment of time and caring can make a measurable difference in the world.","Anthony Robbins","","Caring, Commitment, Difference, Life, Responsibility, Time, World"
"Inspirational","Motivation","People are not lazy. They simply have important goals that do not inspire them.","Anthony Robbins","","Goals, People"
"Inspirational","Purpose","Research has consistently shown that those who succeed tend to make decisions rapidly and are slow to reverse a well-thought-out position. Conversely, people who fail usually decide slowly and change their minds frequently. Once you've made a sound decision, stick by it!","Anthony Robbins","","Change, Decision, Decisions, People, Research, Sound, Succeed"
"Inspirational","Inspiration","Live with passion. ","Anthony Robbins","","Passion"
"Inspirational","Purpose","The higher your energy level, the more efficient your body. The more efficient your body, the better you feel and the more you will use your talent to produce outstanding results.","Anthony Robbins","","Body, Energy, Results, Talent, Will"
"Inspirational","Achievement","The last dejected effort often becomes the winning stroke.","Anthony Robbins","","Effort, Winning"
"Inspirational","Goals","Power moves with you when you have an intent to serve more than yourself.","Anthony Robbins","","Power"
"Inspirational","Potential","Quality questions create a quality life. Businesses succeed when their decision makers ask the right questions about product lines or markets or strategic planning. Relationships flourish when people ask the right questions about where potential conflicts exist and how to support each other rather than tearing each other down. Communities benefit when leaders ask the right questions about what is most important and how citizens can work together toward shared goals. For whatever area of your life you want to improve, there are questions you can ask that will provide you with answers solutions that can catapult you and those you love to a higher level of success and enjoyment. Do you need to ask questions about quality? Commitment? Contribution?","Anthony Robbins","","Answers, Commitment, Decision, Enjoyment, Goals, Leaders, Life, Love, People, Planning, Potential, Quality, Questions, Relationships, Right, Succeed, Success, Support, Want, Will, Work"
"Inspirational","Purpose","Quality questions create a quality life. Successful people ask better questions, and as a result, they get better answers.","Anthony Robbins","","Answers, Life, People, Quality, Questions, Result, Successful"
"Inspirational","Achievement","The truth of the matter is that there's nothing you can't accomplish if: (1) You clearly decide what it is that you're absolutely committed to achieving, (2) You're willing to take massive action, (3) You notice what's working or not, and (4) You continue to change your approach until you achieve what you want, using whatever life gives you along the way.","Anthony Robbins ","","Action, Change, Life, Nothing, Truth, Want"
"Inspirational","Inspiration","It's in your moments of decision that your destiny is shaped. ","Anthony Robbins","","Decision, Destiny, Moments"
"Inspirational","Zeal","Kids are the all-time champions of questioning. What could you gain by imitating the innocence and curiosity of children who are completely determined to get an answer?","Anthony Robbins","","Children, Curiosity, Gain, Innocence, Kids, Questioning"
"Inspirational","Inspiration","People are not lazy; they just have impotent goals, that is, goals that do not inspire them. ","Anthony Robbins","","Goals, People"
"Inspirational","Decisions","Stay committed to your decisions, but stay flexible in your approach.","Anthony Robbins","","Decisions"
"Inspirational","Inspiration","The meeting of preparation with opportunity generates the offspring we call luck. ","Anthony Robbins","","Luck, Meeting, Opportunity, Preparation"
"Inspirational","Action","The path to success is to take massive, determined action.","Anthony Robbins","","Action, Success"
"Inspirational","Goals","It is in your moments of decision that your destiny is shaped.","Anthony Robbins","","Decision, Destiny, Moments"
"Inspirational","Love","The secret of living is giving.","Anthony Robbins","","Giving, Living"
"Inspirational","Inspiration","Success is doing what you want to do, when you want, with whomever you want, as much as you want. ","Anthony Robbins","","Success, Want"
"Inspirational","Success","Successful people ask better questions, and as a result, they get better answers. ","Anthony Robbins","","Answers, People, Questions, Result, Successful"
"Inspirational","Perseverance","More than anything else, I believe it’s our decisions, not the conditions of our lives, that determine our destiny.","Anthony Robbins","","Decisions, Destiny"
"Inspirational","Envy / Jealousy","The word ???jealousy??? is often used as if it were synonymous with envy; but I think the distinction worth preserving. Jealousy is predominantly concerned with the fear of loss of something one possesses, envy with the wish to own something another possesses","Anthony Storr","English Author; (5/8/1920 - 3/17/2001); ","Envy, Fear, Jealousy, Loss, Word, Worth"
"Inspirational","Envy / Jealousy","The word 'jealousy' is often used as if it were synonymous with envy; but I think the distinction worth preserving. Jealousy is predominantly concerned with the fear of loss of something one possesses, envy with the wish to own something another possesses","Anthony Storr","English Author; (5/8/1920 - 3/17/2001); ","Envy, Fear, Jealousy, Loss, Word, Worth"
"Inspirational","Belief","America's greatest strength, and its greatest weakness, is our belief in second chances, our belief that we can always start over, that things can be made better.","Anthony Walton","","America, Belief, Strength, Weakness"
"Inspirational",,"Poverty is the schoolmaster of character.","Antiphanes","","Character, Poverty"
"Inspirational","Love","The secret of art is love.","Antoine Bourdelle","French Sculptor; (10/30/1861 - 10/1/1929); ","Art, Love"
"Inspirational","Heart","And now here is my secret, a very simple secret; it is only with the heart that one can see rightly, what is essential is invisible to the eye.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Eye, Heart, Now"
"Inspirational",,"A goal without a plan is just a wish.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Goal"
"Inspirational","Happiness","Perfection is achieved, not when there is nothing left to add, but when there is nothing left to take away.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Nothing, Perfection"
"Inspirational","Problems","The machine does not isolate man from the great problems of nature but plunges him more deeply into them.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Machine, Man, Nature, Problems"
"Inspirational","Greatness & Great Things","One man may hit the mark, another blunder but heed not these distinctions. Only from the alliance of the one, working with and through the other, are great things born.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Alliance, Man, May"
"Inspirational","Happiness","It is in the compelling zest of high adventure and of victory, and in creative action, that man finds his supreme joys.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Action, Adventure, Man, Victory, Zest"
"Inspirational","Love","Life has taught us that love does not consist in gazing at each other, but in looking outward together in the same direction.","Antoine De Saint-Exupery","French writer  (1900 - 1944)","Direction, Life, Love"
"Inspirational","Inspiration","Man is what he believes.","Anton Chekov","","Man"
"Inspirational","Drive","Never tire yourself more than necessary, even if you have to found a culture on the fatigue of your bones.","Antonin Artaud","French actor, critic, & drama theorist  (1896 - 1948)","Culture, Fatigue"
"Inspirational",,"Bear in mind that brains and learning, like muscle and physical skill, are articles of commerce. They are bought and sold. You can hire them by the year or by the hour. The only thing in the world not for sale is character.","Antonin Scalia","American Judge; (3/11/1936 - ); ","Character, Commerce, Learning, Mind, Skill, World"
"Inspirational","Discipline","In the life of children there are two very clear-cut phases, before and after puberty. Before puberty the child's personality has not yet formed and it is easier to guide its life and make it acquire specific habits of order, discipline, and work after puberty the personality develops impetuously and all extraneous intervention becomes odious, tyrannical, insufferable. Now it so happens that parents feel the responsibility towards their children precisely during this second period, when it is too late then of course the stick and violence enter the scene and yield very few results indeed. Why not instead take an interest in the child during the first period","Antonio Gramsci","","Children, Discipline, First, Habits, Interest, Life, Now, Order, Parents, Personality, Responsibility, Results, Violence, Work, Yield"
"Inspirational","Hope","Flowers are without hope. Because hope is tomorrow and flowers have no tomorrow.","Antonio Porchia","","Flowers, Hope, Tomorrow"
"Inspirational","Hope","One lives in the hope of becoming a memory.","Antonio Porchia","","Hope, Memory"
"Inspirational","Love","Life is the most important, precious and valuable thing.","Anwarshah Anwary","","Life"
"Inspirational","Love","Love ceases to be a pleasure when it ceases to be a secret.","Aphra Behn","","Love, Pleasure"
"Inspirational","Inspiration","We each build our own future. We are the architects of our own fortune. ","Appius Caecus","","Fortune, Future"
"Inspirational","Kindness","A friend is one to whom one can pour out all the contents of one's heart, chaff and grain together, knowing that the gentlest of hands will take and sift it, keeping what is worth keeping, and, with the breath of kindness, blow the rest away.","Arab Proverb","","Friend, Heart, Kindness, Rest, Will, Worth"
"Inspirational","Defeat","An army of sheep led by a lion would defeat an army of lions led by a sheep.","Arab Proverb","","Army, Defeat, Sheep"
"Inspirational","Kindness","Blessed is he who speaks a kindness thrice blessed is he who repeats it.","Arab Proverb","","Kindness"
"Inspirational","Conscience","He who steals an egg will steal a camel","Arab proverb","","Will"
"Inspirational","Hope","He who has health has hope and he who has hope, has everything.","Arab Proverb","","Health, Hope"
"Inspirational","Ethics and Morality","Lying and stealing are next-door neighbors.","Arab proverb","","Lying, Neighbors"
"Inspirational","Advice","Never give advice in a crowd.","Arab Proverb","","Advice"
"Inspirational","Opportunity","Four things come not back: The spoken word, The sped arrow, The past life, The neglected opportunity.","Arabian Proverb ","","Life, Opportunity, Past, Word"
"Inspirational","Perception","The dung beetle, seeing its child on the wall, thinks it sees a pearl on a thread.","Arabic Proverb","",
"Inspirational","Choice","To decide to be at the level of choice, is to take responsibility for your life and to be in control of your life.","Arbie M. Dale","","Choice, Control, Life, Responsibility"
"Inspirational",,"Freedom is the right to one's dignity as a man.","Archibald MacLeish","American Poet; (5/7/1892 - ); ","Dignity, Freedom, Man, Right"
"Inspirational","Life","It is not in the world of ideas that life is lived. Life is lived for better or worse in life, and to a man in life, his life can be no more absurd than it can be the opposite of absurd, whatever that opposite may be.","Archibald MacLeish","American Poet; (5/7/1892 - ); ","Ideas, Life, Man, May, World"
"Inspirational","Learning","No amount of study or learning will make a man a leader unless he has the natural qualities of one.","Archibald Wavell","","Leader, Learning, Man, Study, Will"
"Inspirational","Mistakes","God don't make no mistakes. That's how He got to be God.","Archie Bunker","","God, Mistakes"
"Inspirational","Inspiration","Give me a lever long enough, and a prop strong enough and I can single-handedly move the world. ","Archimedes","Greek Mathematician;Greek inventor, mathematician, & physicist  (287 BC - 212 BC)","World"
"Inspirational","Intensity","Give me a lever long enough and a fulcrum on which to place it, and I shall move the world.","Archimedes","Greek Mathematician;Greek inventor, mathematician, & physicist  (287 BC - 212 BC)","World"
"Inspirational","Fame","It's so glamorous, you have to see it. (describing the 92 million Rock & Roll Hall of Fame)","Aretha Franklin","",
"Inspirational","Agreement","In Lebanon there was an agreement not to liquidate Yasser Arafat. I'm sorry that we didn't liquidate him.","Ariel Sharon","","Agreement"
"Inspirational",,"The wise learn many things from their enemies.","Aristophanes","Greek Athenian comic dramatist  (450 BC - 388 BC)","Enemies"
"Inspirational","Inspiration","Wise people, even though all laws were abolished, would still lead the same life.","Aristophanes","Greek Athenian comic dramatist  (450 BC - 388 BC)","Laws, Life, People"
"Inspirational",,"High thoughts must have high language.","Aristophanes","Greek Athenian comic dramatist  (450 BC - 388 BC)","Language, Thoughts"
"Inspirational",,"By words the mind is winged.","Aristophanes","Greek Athenian comic dramatist  (450 BC - 388 BC)","Mind, Words"
"Inspirational",,"A man may learn wisdom even from a foe.","Aristophanes","Greek Athenian comic dramatist  (450 BC - 388 BC)","Man, May, Wisdom"
"Inspirational","Success","A man's homeland is wherever he prospers.","Aristophanes","Greek Athenian comic dramatist  (450 BC - 388 BC)","Man"
"Inspirational","Power","What lies in our power to do, it lies in our power not to do.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Lies, Power"
"Inspirational","Friendship","Wishing to be friends is quick work, but friendship is a slow ripening fruit.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Friends, Friendship, Quick, Wishing, Work"
"Inspirational","Inspiration","You are what you repeatedly do. Excellence is not an event- it is a habit. ","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Excellence, Habit"
"Inspirational","Discipline","What it lies in our power to do, it lies in our power not do.","Aristotle ","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Lies, Power"
"Inspirational","Encouragement","We are what we repeatedly do. Excellence, therefore, is not an act but a habit.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Act, Excellence, Habit"
"Inspirational","Character","To enjoy the things we ought and to hate the things we ought has the greatest bearing on excellence of character.","Aristotle ","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Character, Excellence, Hate"
"Inspirational",,"A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that he has the gods on his side.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Appearance, Devotion, God, Gods, Religion, Treatment"
"Inspirational","Character","Character is that which reveals moral purpose, exposing the class of things a man chooses and avoids","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Character, Class, Man, Purpose"
"Inspirational","Winning","I count him braver who overcomes his desires than him who conquers his enemies; for the hardest victory is over self.","Aristotle ","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Enemies, Self, Victory"
"Inspirational","Happiness","Happiness is a state of activity.","Aristotle ","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Happiness, State"
"Inspirational","Anger","Anyone can become angry - that is easy. But to be angry with the right person, to the right degree, at the right time, for the right purpose, and in the right way; this is not easy.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Purpose, Right, Time"
"Inspirational","Intensity","Excellence is an art won by training and habituation. We do not act rightly because we have virtue or excellence, but rather we have those because we have acted rightly. We are what we repeatedly do. Excellence, then, is not an act but a habit.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Act, Art, Excellence, Habit, Training, Virtue"
"Inspirational","Success","Happiness does not consist in pastimes and amusements but in virtuous activities. ","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Happiness"
"Inspirational","Adversity","Education is an ornament in prosperity and a refuge in adversity.","Aristotle","Greek critic, philosopher, physicist, & zoologist  (384 BC - 322 BC)","Adversity, Education, Prosperity"
